ID M_s SFR SSFR M halfmassrad halfmassrad_s Label
461365.0 4480410000.0 1.00015 2.232273385694613e-10 162215000000.0 27.8324 3.2528 1.0
333322.0 11242500000.0 0.443514 3.944976651100734e-11 241014000000.00003 25.4116 1.7609 1.0
270578.0 4801050000.0 1.31442 2.7377761114756143e-10 113461000000.0 15.7476 2.8411 1.0
487733.0 11817500000.0 0.511683 4.329875185106833e-11 702806000000.0001 74.234 2.3318 1.0
345198.0 2164810000.0 0.00510167 2.356636379174154e-12 18238700000.0 5.1939 1.7904 0.0
95722.0 3948710000.0000005 0.0 0.0 13670900000.0 2.4394 1.6677 0.0
200694.0 57520000000.0 0.00591512 1.0283588317107093e-13 408103000000.0 17.5804 4.6121 0.0
440979.0 38187700000.0 3.60362 9.436598695391448e-11 1381060000000.0 86.6399 7.3187 1.0
55235.0 27169400000.0 0.0 0.0 455942999999.99994 26.5533 2.9475 0.0
508207.0 4478720000.0 0.728801 1.6272528758216634e-10 298698000000.0 52.0811 1.7532 1.0
560352.0 2439090000.0 0.269007 1.1028990320160387e-10 29578700000.000004 6.8136 2.5892 1.0
601494.0 2768640000.0 0.31994 1.1555854137771613e-10 163414000000.0 36.3782 2.8766 1.0
496586.0 28198500000.0 0.0985167 3.493685834352891e-12 705089000000.0 66.3734 2.3637 0.0
489718.0 28700000000.0 0.532986 1.8570940766550523e-11 735849999999.9999 47.7233 4.393 1.0
416882.0 65364800000.0 0.102616 1.569896947592588e-12 2105230000000.0 85.1445 3.4167 0.0
569447.0 5772200000.0 0.958711 1.6609109178476143e-10 213829000000.0 45.5178 2.7505 1.0
557320.0 5359760000.0 0.876596 1.6355135304565876e-10 308346000000.0 38.7622 2.578 1.0
357404.0 3635160000.0 1.14933 3.1617040240319546e-10 4197389999.9999995 0.4316 0.4123 1.0
406376.0 8549620000.0 0.543674 6.359042858045153e-11 153449000000.0 17.4198 1.333 1.0
539777.0 6937480000.0 6.41323 9.244322145793574e-10 393523000000.0 48.5409 2.0332 1.0
566275.0 4668830000.0 1.01295 2.1696013776470766e-10 272556000000.0 45.8289 3.5164 1.0
486762.0 21757800000.0 2.36681 1.0877983987351662e-10 784169000000.0 61.6423 5.4274 1.0
597578.0 2797080000.0 0.406318 1.452650621362278e-10 180162000000.0 37.3702 1.758 1.0
463925.0 7188120000.0 7.05704 9.81764355631236e-10 33087300000.0 4.0656 2.1537 1.0
583437.0 2758000000.0 0.346892 1.2577664974619289e-10 216871000000.0 41.7572 1.882 1.0
288041.0 5419330000.0 0.240344 4.434939374424514e-11 41221600000.0 7.087 3.2301 1.0
326619.0 3689850000.0 0.212824 5.7678225402116624e-11 81975100000.0 14.8097 2.4657 1.0
530969.0 19241000000.0 0.0 0.0 420135000000.0 43.8453 1.7601 0.0
604876.0 3378280000.0 0.380833 1.1272985069325219e-10 156760000000.0 34.6195 2.4057 1.0
595019.0 2640989999.9999995 0.800864 3.0324385931033445e-10 176703000000.0 32.8184 2.2271 1.0
574509.0 3239670000.0 0.375448 1.158908160399053e-10 243051000000.0 46.2096 1.6463 1.0
549058.0 3420030000.0 0.56994 1.6664766098542996e-10 240579000000.0 43.2449 2.3463 1.0
542801.0 14966400000.0 1.06879 7.14126309600171e-11 387162000000.0 41.7442 1.8487 1.0
546632.0 3803890000.0 0.808744 2.126097232044039e-10 344281999999.99994 48.2436 2.7105 1.0
566960.0 6284430000.0 0.864802 1.3761025264025537e-10 291377000000.0 43.0352 2.732 1.0
540230.0 16884100000.0 0.0 0.0 458506000000.0 44.6295 1.3558 0.0
496639.0 12775399999.999998 1.43428 1.1226889177638276e-10 601315000000.0 61.1604 1.6101 1.0
74877.0 2170990000.0 0.0 0.0 45005000000.0 9.6043 3.0628 0.0
528089.0 2825790000.0000005 0.29432 1.0415494428106829e-10 306263000000.0 55.8949 2.7208 1.0
545217.0 8499719999.999999 0.628727 7.397031902227369e-11 370415000000.0 49.7812 1.1691 1.0
572190.0 5421940000.0 0.68472 1.2628690099853558e-10 255948000000.0 38.6928 1.6684 1.0
529441.0 13230400000.0 1.68151 1.270944189140162e-10 415116000000.0 49.8592 5.3593 1.0
580625.0 3433040000.0 0.531539 1.5483041269545358e-10 208680999999.99997 39.2098 5.3043 1.0
282581.0 55232000000.0 0.185962 3.366924971031286e-12 283927000000.0 10.2262 2.7613 0.0
578608.0 3936700000.0 1.12206 2.8502552899636753e-10 239772000000.0 34.0904 2.7976 1.0
37424.0 49247100000.0 0.0 0.0 579790000000.0 30.6277 3.1996 0.0
576846.0 4286970000.0 0.232563 5.4248805100105664e-11 247575000000.0 37.3332 3.0119 1.0
633193.0 2623700000.0 0.170701 6.506117315241833e-11 99901700000.00002 23.2593 3.3435 1.0
